#OTU ID	F0203-T0	F0203-T6	F0204-T0	F0204-T6	F0407-T0	F0407-T6	F0408-T0	F0408-T6	F0509-T0	F0510-T0	F0611-T0	F0612-T0	F0713-T0	F0713-T6	F0714-T0	F0714-T6	F0815-T0	F0816-T0	F0917-T0	F0918-T0	F1019-T0	F1020-T0	F1121-T0	F1121-T6	F1122-T0	F1122-T6	F1223-T0	F1223-T6	F1224-T0	F1224-T6	F1325-T0	F1326-T0	F1427-T0	F1427-T6	F1428-T0	F1428-T6	F1529-T0	F1529-T6	F1530-T0	F1530-T6	F1631-T0	F1631-T6	F1632-T0	F1632-T6	F1-T0	F10-T0	F11-T0	F12-T0	F13-T0	F14-T0	F15-T0	F16-T0	F17-T0	F19-T0	F2-T0	F20-T0	F21-T0	F22-T0	F23-T0	F24-T0	F25-T0	F26-T0	F3-T0	F4-T0	F5-T0	F6-T0	F7-T0	F9-T0
1CMET2-PWY	0.005978430081911519	0.0056224973479880504	0.005790692793200301	0.00593517419734336	0.0056972348566045414	0.0059784447724963476	0.005770564156592856	0.005658308122149738	0.006105968995631407	0.006381578080361194	0.005750205819966952	0.006387373898878432	0.005820646734947115	0.005678020786464177	0.005664063572335947	0.005534686630982393	0.00566526656906439	0.005610847649962769	0.005543992082156298	0.005534051257505394	0.005666734357247691	0.006069170811921119	0.00574281410141917	0.0055687315235602945	0.0063031360613323385	0.0060101594502921345	0.006112303362396758	0.006001155687995646	0.006361129413336437	0.006026354379821818	0.006412917905338151	0.005717337369141172	0.005732142125241869	0.005868932979471543	0.005534746924686478	0.005973464271996234	0.005528924492310803	0.005964600152177976	0.005342577070025117	0.005633384148786258	0.005819483755396684	0.0057690371825011855	0.005961491676859803	0.005533047297498608	0.006245437399568052	0.005762140600645348	0.006433189592422299	0.005855321939224428	0.00609868142585435	0.006142855294136464	0.005616214165864389	0.005719631213701305	0.005809917842497126	0.0058385368505504045	0.004807773034553372	0.005617562577918693	0.005264388630373835	0.005327979928066772	0.005601369022151355	0.005839768910832564	0.0058258127440354605	0.0055260193589853875	0.006362767796511973	0.005834308892417351	0.006164591601058116	0.0052624361086255145	0.006404390756132221	0.005661812453189641
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2.752458531554762e-07	8.557899564913012e-05	1.5183905474148618e-05	0.0	1.8601160345912632e-08	6.123278548321819e-07	5.785227625196704e-09	0.0	1.4083071656734394e-07	7.851267608984313e-07	0.0	0.0	7.541338823668621e-07	1.132668537451989e-06	1.9270989076288945e-06	3.3543210546822827e-07	9.676534025442176e-07	0.0	4.0178694287340664e-06	9.508247429694534e-06	0.00014900730276120743	1.1960641754414675e-07	2.927083041117956e-06	2.6655750392271525e-05	2.0819422271404015e-06	3.5073981986736725e-07	6.389366711121574e-08	3.0262819810108373e-06	1.0718660608737267e-06	5.861970507131079e-06	0.0	6.985225837617676e-05	0.00011059311883334162	1.8776863402768992e-07	1.3411607355425346e-05	1.336156879764601e-05	4.769017003423532e-05	1.0912676152891306e-08	4.020786480498118e-06	5.450815436944006e-07	4.484639902530082e-07	9.60771928502635e-07	9.961524497839896e-06	0.0001974371470370925	4.0884240670840804e-08	9.664064876115192e-05	3.5333310427738584e-08	3.457484809930009e-07	2.859551467560652e-07	1.991507424698885e-06	9.040710965810794e-06	2.169670964154482e-05	2.6518627128058152e-05	0.00023164365832629768	5.3530032529971397e-05	0.0002964060916626801	1.0211347166903407e-06	7.156352305612788e-05	3.3631531004188784e-05	0.0002425845371329072	0.00017750584817904645	1.2846568426531673e-05	0.0	7.101561377556553e-05	3.2038105911067644e-07	0.0006838169635150814	8.594008589384992e-08	6.073503394423137e-06
AEROBACTINSYN-PWY	5.85926359700651e-05	8.956213754969546e-05	5.0425505681247045e-05	3.984458927407602e-06	8.609208104207079e-05	1.909678893328027e-05	2.7801962366904703e-05	0.00014394403941464867	1.315515316657499e-05	9.125310220924916e-05	7.140742869357123e-05	4.141704306611395e-05	4.320425480688051e-06	3.63051247076492e-05	0.0001326326331290326	3.501672055968071e-05	3.613467532891334e-05	0.00013844508571252972	0.0	1.348244343751535e-05	0.00016068321266450122	4.297875992795132e-05	4.504272460302139e-05	0.0001288893860397253	2.114293200871977e-05	8.711023051331879e-05	4.3355113705492e-06	3.290023674134692e-06	3.382771854690972e-05	2.239832228038557e-05	2.5729572635894734e-06	8.465037662819374e-06	6.131792083616002e-06	5.594163600541039e-05	5.586630588474537e-05	6.779959103396684e-05	0.00015358682503828288	0.0	1.2242792572027816e-05	0.0	0.0	7.264679400498109e-06	2.6395549583761808e-05	0.00012601198984633533	8.727778024575352e-05	1.818920561840418e-05	2.1088365116882795e-06	0.000146490495152003	0.0	7.453180491282733e-05	0.0002546409925705411	3.0450675935584443e-05	6.132093672615212e-05	0.0001380406726579988	0.001503071643095338	0.00011248699463074947	6.80507333735811e-06	0.0005473505904987846	1.6564944632122995e-10	0.00016016964689218047	0.0001136881064882554	0.00014435270281360174	2.222806415399891e-05	0.00020726459333377515	2.43679277108401e-06	3.50500973031108e-06	0.0	0.00018430523850100975
ALL-CHORISMATE-PWY	0.0004660843152367567	0.0007090752507957298	0.00048117051180506616	0.00027751158543200656	0.0007100982275568647	0.0003686578449242939	0.0004761184669280816	0.0011262319154005938	0.00031683069495565795	0.0005502337613320764	0.0003888480394733128	0.00033554708175745124	0.0001913248104041902	0.00037762350518069356	0.001112705289854077	0.0005492703748953097	0.00032704371597272637	0.0010069011814268706	0.00016242788164713533	0.00038771509757110366	0.001133860683917393	0.0007646269624409932	0.0006438739623703565	0.0011024919323561217	0.0003818881302368523	0.0008128980973321575	0.00016717965524690566	0.0001765459117696105	0.000303095312718185	0.00035764349074812	0.0001173558836284034	0.0003339318398415158	0.000393438564688568	0.0004123996804478498	0.00041551647440223397	0.0004445010948184064	0.0009379442695226136	8.391136265302574e-05	0.00026124022706209025	0.0	0.00020860015664179727	0.00024364524419536517	0.00048139681509792485	0.000895972083243989	0.000573537604955726	0.0007673755422050852	0.0001306221895637201	0.0007826087138543736	8.062290589608364e-05	0.0011744516747592651	0.0011758577066904067	0.0006291576907057073	0.0004814775580825594	0.0007665969578566915	0.002796398680989495	0.000987226059888386	0.00027058116386507867	0.0016206784354918554	0.00042858125100382236	0.0016851428031857602	0.0009606818790719955	0.001369244045819396	0.0001190807250693978	0.0010877708424331452	0.00032265751016423216	0.0015147876968889323	0.0	0.001020078357020284
ANAEROFRUCAT-PWY	0.006374324253011132	0.005585194492543245	0.006257777540993006	0.0065416194088590155	0.006833517894113076	0.006780711258972741	0.006150926670591785	0.006183893285606116	0.005894071424997794	0.006374803730239248	0.006273286435276046	0.0058314174667144225	0.006100666329702847	0.006057351069793818	0.005895335470806624	0.0061233852958533196	0.006563333038422308	0.006446489989277384	0.004626656163985337	0.005807021517019849	0.00603477796310003	0.005230941353290762	0.006003970623966568	0.005652482938459899	0.006119201812438689	0.00553507225198664	0.007038444837814075	0.0072228478592588526	0.005824617301160544	0.006221391765888881	0.005592066362898288	0.006703257514437426	0.007170228820761678	0.007007221008090741	0.00639871306315041	0.007145259375629407	0.006492403117382513	0.0062836571704437865	0.005969209049584808	0.006211084928126618	0.0061016827980636705	0.0064203764083112964	0.005848742785509533	0.005711085710313771	0.004779347814130886	0.005490687612186511	0.00644353430238278	0.0058980878900785315	0.005899443856487823	0.006055096104960721	0.0058164212503013886	0.005369566923857826	0.006184569140625546	0.0063234896258526525	0.005192570778357491	0.005638095580305488	0.0053000699745644675	0.005580415410945661	0.00585338485962027	0.005739704232763878	0.006007911407040482	0.006066957952209518	0.0056114242246610505	0.00570087016008298	0.006862644120077157	0.006042829613560503	0.007463880484901537	0.005960480167662132
ANAGLYCOLYSIS-PWY	0.008468470517149478	0.008514638803256314	0.008843779509275798	0.008647640662064927	0.00825688118842688	0.007771435176344395	0.008076728961172548	0.007851750771128378	0.008270382259430144	0.007692521984926426	0.007404905669278119	0.008037263815028112	0.008384716606998093	0.008054053788985402	0.008064298633452554	0.008301920435051768	0.007754462425550282	0.008139350144024286	0.008419931737385297	0.00869721331282933	0.008349205529291004	0.0077230358670200595	0.00776111104685884	0.007625002705652967	0.008405173654177008	0.007961075208001888	0.008673381907478643	0.008705643946411818	0.008330635071232577	0.008174393545031732	0.007854103384712902	0.008666681104052516	0.007764744102838621	0.008092713055841047	0.00728094749573076	0.007803164241369701	0.008037511279039962	0.008444939338784235	0.008759462241580498	0.008296800781587942	0.008067988433373826	0.008171499323970627	0.00804813221889559	0.008159454737238975	0.009304102564374054	0.008360740013282263	0.009242557084824464	0.007827474632598119	0.008151514151606287	0.008389617596472292	0.008140107978228079	0.00860949880809073	0.00810902030663219	0.008502007732905098	0.006596711776586716	0.00782197517331451	0.007800536171244594	0.007368077482640365	0.008034257912519726	0.007410197741508519	0.008017867425982	0.007726911541952414	0.009154544035639542	0.007463003118997534	0.00858537180652507	0.00756408596279624	0.008936090035547729	0.00799848538135424
ARG+POLYAMINE-SYN	0.00186158665967494	0.0022134145168621043	0.0022834554256719298	0.001772018149116141	0.0033380109848250086	0.003201648540159073	0.002703580346619928	0.002928998714605652	0.0013590232768675204	0.002310695197235822	0.0019662957584700826	0.0018257020647296594	0.0026716280926845385	0.0017943605140172344	0.002127294606984862	0.0021479641225086808	0.0024739492245650805	0.003119564945105928	0.002089572226812099	0.0025699010458084155	0.0022853519788544542	0.001255214337903613	0.0020286846923114918	0.002110822978976603	0.0013832608954040424	0.001761574333082907	0.0021844500429171057	0.0031991001666416812	0.0028221822952021703	0.0016677681503403103	0.0010034777444348573	0.0016987541863007836	0.003181275011266275	0.0029141453782050297	0.002415367527751793	0.002393786253778892	0.001961373685924064	0.0029040672301482323	0.00217450613858347	0.003291828761706163	0.002198127201366234	0.001921221841322708	0.0029742226645312706	0.002634750949176795	0.0008356304086099187	0.002005727112517698	0.002186644717308007	0.0024836673550323804	0.0013207904062607632	0.0014917739492945677	0.002338649027983343	0.0021934010483419474	0.0018407500480123022	0.0017086862629562597	0.0031644842475738893	0.0025259520148980877	0.002957228522953748	0.003154379996990962	0.0019246046076280988	0.001955887060625309	0.0020839669836751813	0.0021611930634370413	0.002114212841289953	0.002019729208986021	0.0013046814508659037	0.0027002475421101443	0.001039325824829141	0.0018875417247740272
ARGDEG-PWY	0.0	8.433457912675984e-05	5.80217860694023e-05	0.0	1.2415356161220718e-06	0.0	3.462021586255172e-07	0.0	0.0	4.572964686685164e-07	0.0	0.0	0.0	0.0	2.98519048456112e-06	9.98544458111451e-10	0.0	0.0	0.0	2.2258429974732995e-06	0.00022091191795581259	4.6126513498519363e-07	2.490056707938656e-07	2.3525747005924449e-07	0.0	1.3248728934243752e-09	2.0272977401760677e-10	0.0	8.370381549273967e-07	0.0	0.0	7.675949677025467e-05	0.00012599693200577558	1.2703646774647719e-06	4.671531276877069e-05	5.488875369421648e-05	0.0001852944859306876	0.0	1.2337246221362484e-05	0.0	0.0	4.201422358740448e-10	4.0201130438985025e-07	0.0003269794832812758	6.352712201906452e-10	9.442212144325092e-05	4.818178694691624e-10	0.0	0.0	1.1915918295332285e-09	3.9567701065190015e-10	6.592568592035314e-05	6.463115279120651e-05	0.0003780796102743339	0.0001618935401853562	0.0005463669708719188	3.5592008249924737e-10	0.00026865229359090444	6.898576103363625e-05	0.00041921598975798755	0.00029045086052851036	2.204372351868794e-08	4.965064235431863e-05	0.00023975524965966336	1.206644956732926e-06	0.0009357910208975374	0.0	8.510256808370037e-06
ARGORNPROST-PWY	0.0011771479890156653	0.0015203208346385017	0.0014249836653393614	0.0014281588440906655	0.0008140470551831412	0.0009514519422160568	0.0007616604490794037	0.000893110855867828	0.0013442073739095566	0.0014304539520471648	0.0008329149299700943	0.0011279568678328991	0.0011676112656854162	0.0011367183458295645	0.001987637959606843	0.0017727399415522539	0.0019142568249954112	0.001048857106857033	0.002121843022049451	0.0020270246482397467	0.001440641908537256	0.0011036440069009795	0.001509924435128334	0.0016943462641801964	0.0015786330473367006	0.001155737510868479	0.0005511759993771011	0.0005452974474702686	0.0012124420801908186	0.001365265765737272	0.0008419492979563032	0.0014189341565148126	0.000875844865353439	0.0012074254938559301	0.0010402197853385	0.0010608282579008701	0.0017073880735014558	0.001134365871062094	0.0015510166154331468	0.0009109938068659614	0.001318578877257278	0.0011603475199277588	0.0015692342051752371	0.0015792227813127863	0.0017362260117753507	0.001252328666102202	0.0018703198829785907	0.001847905858205924	0.0017171676852105716	0.00260132253649914	0.001795503478087916	0.0014474425258770433	0.002562300913583172	0.0012006441568398372	0.002349494496637856	0.001420668262143837	0.0018182056401646002	0.0017303914713425138	0.0009641863730082661	0.0020428622944402394	0.0017716033687433911	0.0015356352929467424	0.0009334596800566906	0.00240980360535223	0.001681660304925674	0.0010767787229456396	0.0013277286558535171	0.0022285358309398124
ARGSYN-PWY	0.005812519013505755	0.005428895777333539	0.006332020103569885	0.005692970208473752	0.00504536908099493	0.005178403795316515	0.005561589476040831	0.005320697901409429	0.0060780919414277065	0.004763138193680171	0.005013362708684749	0.004667579155494504	0.0055722820058224	0.005332436455139349	0.0059320410239463535	0.006023134191394932	0.005818016968712299	0.005328101472743444	0.006780492046439555	0.006266593351314461	0.005467947159056347	0.005725359563265669	0.0060998289916977975	0.005999885448015034	0.00532991173532131	0.005247620014983038	0.004738223490898631	0.004558276047921076	0.004992416012856082	0.005647454698382561	0.005702348684681572	0.0052528737893695245	0.00482224764454797	0.005206290282344161	0.005006923268486627	0.004213471025293263	0.005721291529312647	0.00535414241706569	0.006177767277653626	0.005709502014839501	0.006184242824210635	0.005758790473557866	0.005800680495964943	0.0055001884758470706	0.007154766711468665	0.005928881781451681	0.006726342440258312	0.005553904969838572	0.006065612269540241	0.0063194555782895775	0.005783698620207258	0.006574074054350193	0.006531092469734163	0.005948531648496513	0.005050972681067676	0.005893321730146839	0.006481984628308896	0.004918483479261864	0.00593876472549039	0.005879919122823395	0.005540460199566602	0.005807723549613016	0.006235425341711176	0.005837992756817615	0.006506956381034425	0.004847617464075222	0.005836056274304816	0.005513642705085887
