#OTU ID	S0203-T6	S0204-T6	S0407-T6	S0408-T6	S0713-T6	S0714-T6	S1019-T0	S1020-T0	S1121-T0	S1121-T6	S1122-T0	S1122-T6	S1223-T0	S1223-T6	S1224-T0	S1224-T6	S1325-T0	S1326-T0	S1427-T0	S1427-T6	S1428-T0	S1428-T6	S1529-T0	S1529-T6	S1530-T0	S1530-T6	S1631-T0	S1631-T6	S1632-T0	S1632-T6	S1-T0	S10-T0	S11-T0	S12-T0	S13-T0	S14-T0	S15-T0	S16-T0	S17-T0	S19-T0	S2-T0	S20-T0	S21-T0	S22-T0	S23-T0	S24-T0	S25-T0	S26-T0	S3-T0	S4-T0	S5-T0	S6-T0	S7-T0	S8-T0	S9-T0	S0509-T0	S0510-T0	S0611-T0	S0612-T0	S0713-T0	S0714-T0	S0815-T0	S0816-T0	S0917-T0	S0918-T0
PWY-7295	115.8828	42.7614	13.7777	0.0037	5.675	23.0267	98.0942	10.8583	115.4828	216.9786	49.7387	103.0455	7.2529	2.4647	0.0119	0.0009	58.9561	35.8238	55.0908	49.2568	36.1319	101.978	32.5832	49.8923	107.5413	43.5966	50.6275	49.2516	65.7167	72.1993	0.0065	120.079	138.7896	0.0005	0.0003	65.7351	42.9956	70.939	12.7778	0.0012	65.1299	30.4607	26.8374	0.0012	50.1041	29.0413	0.0	41.8625	40.3956	106.4707	189.3859	59.8753	31.8533	0.0059	86.4412	75.0737	0.0041	41.1881	13.2715	12.0359	10.2894	10.9196	33.3269	28.4867	88.9034
PWY-7315	753.553	696.0579	540.6579	619.6279	889.6312	1111.399	291.667	397.0277	261.2788	538.1862	742.5017	871.1504	230.2958	765.9501	575.7806	65.9408	695.7975	382.0392	505.3826	807.48	282.5227	416.5866	2087.7052	782.324	1114.8599	689.0302	493.2945	451.7638	478.6969	289.1675	764.6052	1405.5041	2405.889	1411.5051	109.0327	1232.8312	691.8975	924.6329	931.7781	101.3431	297.1172	632.5644	785.6708	778.9366	185.1303	487.3655	227.5587	96.1393	1023.2258	1136.7442	1534.9562	848.0833	1082.7838	128.8005	192.5769	376.1565	264.0157	329.8434	470.7401	808.2547	670.6814	291.0998	650.9454	789.7208	404.1969
PWY-7316	0.7805	0.0019	7.9984	0.0049	16.2455	32.2351	81.7176	0.01	0.0117	0.0053	0.0032	0.0127	17.0102	0.0191	0.0155	0.0011	0.0019	0.004	10.3182	0.0083	0.0051	0.0089	25.7652	31.6793	57.9295	31.6762	0.0049	0.0083	0.0087	5.9357	0.0085	21.9229	66.0068	0.0006	62.8173	44.076	0.0127	0.019	53.861	0.0016	0.0004	0.7588	0.0042	10.0576	0.0026	0.0024	0.0	0.0006	0.0106	0.0155	0.0775	30.4147	6.4469	23.4486	20.6221	0.0053	0.0053	0.0024	0.007	0.003	0.0051	0.0109	0.0086	0.0095	0.0065
PWY-7323	7151.7772	6582.2851	6782.7045	6860.8646	8585.1599	19269.9257	6919.5621	5900.0414	5765.5645	6677.5843	5855.9569	8711.9047	4510.2728	8534.326	8984.5857	1203.6552	9614.376	7090.4271	8084.0632	11677.4061	5642.0872	8466.2616	6183.8703	5999.7978	9058.4325	6395.6744	6191.8836	5953.8272	8079.0745	4687.9459	8857.6724	18148.7459	28733.8546	14946.1603	11453.1793	16739.4639	13204.7018	15700.7476	16408.6712	6855.9979	5127.8892	10678.2797	11820.048	7378.9835	6109.2978	8555.8122	7688.6886	2329.0638	10190.4087	12975.0125	19551.4335	14481.1034	6969.9907	5136.7711	8017.7252	7974.2628	10543.6865	5606.3885	9928.5849	10032.7438	9654.5781	7458.6619	7240.1999	13945.6153	8660.9526
PWY-7328	3041.886	1399.502	3002.2482	2017.1134	2414.8053	6660.0829	1939.8039	1348.3111	2175.3861	2969.118	3140.6469	3315.1674	1092.6119	2046.8844	2373.6568	721.2081	2136.9206	1643.2982	2795.121	3830.0351	1762.3067	3572.5038	6934.0589	3989.7458	5043.3752	3175.4455	2449.0458	1880.8663	2638.3262	1801.7523	2110.3985	6806.6338	7588.1495	2436.1074	2575.4936	5351.9628	2425.8856	3179.5006	3936.9033	1692.9955	1587.3894	3618.4485	2366.5818	1600.719	1591.9022	1532.6799	3223.9164	787.2776	2974.4251	3506.2182	5179.8551	2100.4319	3539.3824	659.6807	1739.845	2862.7373	2350.0388	1556.5049	2037.8189	3252.7133	2540.1469	2333.319	3038.65	4864.8749	3466.2415
PWY-7332	1377.9445	1672.7428	1159.3011	1800.0826	4251.2814	7506.9312	836.7349	663.9695	1104.697	1499.57	1380.6399	3052.1124	948.2713	2584.0467	2000.6834	248.612	2843.026	1590.7648	2908.4462	3234.1571	1064.4653	1310.3017	1156.3533	884.9746	1373.5699	976.549	1067.4112	1236.8844	1866.2446	836.8304	3324.3218	5630.6547	8798.2098	7503.05	594.897	4856.0209	3126.0129	3119.2152	5876.7973	827.4688	1634.099	2207.5978	3065.8702	3461.8462	1151.0653	2867.3062	852.2269	366.594	1905.1531	5090.2176	5294.2614	2378.2488	3305.6477	339.0424	2277.592	786.6817	923.0164	865.8467	951.3045	2529.1042	2922.0452	649.4767	1187.5176	2503.209	1295.0405
PWY-7347	3.8592	1.4471	5.3034	6.1438	22.9433	40.7364	8.827	14.2219	13.3703	5.8046	3.5951	21.1135	5.1525	14.6797	11.897	0.865	2.1921	3.89	5.4418	28.3789	6.3197	10.3859	0.1831	1.5661	2.6119	1.7968	4.1615	8.1546	6.7174	4.0909	6.5161	22.5433	24.5118	0.4659	0.3493	8.5369	9.7727	14.6381	14.8599	1.1979	0.2994	7.1	4.7028	1.2143	1.9796	1.863	0.0	0.4992	8.1475	11.9304	59.3834	3.309	1.1813	5.8787	0.8318	4.1078	4.1068	1.8797	5.3875	2.3121	3.9418	8.4066	6.6522	7.2994	4.9886
PWY-7352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7354	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7371	313.8988	397.7759	266.0665	232.279	866.0397	2148.2783	130.0507	169.3258	197.5465	227.8216	359.1328	793.9163	118.3842	467.4344	571.5937	13.7932	721.0868	336.7256	943.3765	899.1981	254.5376	266.4949	201.303	338.9956	312.3072	230.4283	202.6393	178.3143	226.7299	156.533	803.4126	1539.1726	2192.3097	1057.3584	437.0401	956.8121	683.1541	1007.2113	1338.2154	494.7659	400.916	308.4939	885.3588	399.916	375.5593	212.6507	185.33	98.1664	394.8326	1437.4641	2139.301	2710.4447	279.8775	383.5082	270.7217	118.5851	543.5152	137.72	268.9515	405.9318	536.4154	157.554	419.9443	657.6428	339.6825
